rank,team,points,previous_points,confederation,ranking_date
124,Cyprus,1133.25,1128.33,UEFA,2026/6/11
125,Suriname,1132.43,1132.43,CONCACAF,2026/6/11
126,Azerbaijan,1132,1136.67,UEFA,2026/6/11
127,Estonia,1130.64,1121.1,UEFA,2026/6/11
128,Rwanda,1126.62,1126.62,CAF,2026/6/11
129,Malawi,1122.05,1128.03,CAF,2026/6/11
130,Zimbabwe,1119.78,1118.12,CAF,2026/6/11
131,Nicaragua,1114.63,1115.13,CONCACAF,2026/6/11
132,Guinea-Bissau,1108.38,1108.38,CAF,2026/6/11
133,Kuwait,1106.47,1105.1,AFC,2026/6/11
134,Congo,1105.96,1105.96,CAF,2026/6/11
135,Philippines,1100.95,1094.1,AFC,2026/6/11
136,Malaysia,1086.22,1086.22,AFC,2026/6/11
137,Latvia,1085.66,1090.57,UEFA,2026/6/11
138,India,1084.93,1091.03,AFC,2026/6/11
139,Central African Republic,1080.82,1083.57,CAF,2026/6/11
140,Liberia,1080.44,1079.02,CAF,2026/6/11
141,Turkmenistan,1078.65,1078.65,AFC,2026/6/11
142,Burundi,1078.01,1078.01,CAF,2026/6/11
143,Ethiopia,1077.52,1071.55,CAF,2026/6/11
144,Dominican Republic,1076.5,1077.95,CONCACAF,2026/6/11
145,Yemen,1065.24,1049.49,AFC,2026/6/11
146,Lesotho,1064.29,1067.13,CAF,2026/6/11
147,Botswana,1063.63,1063.63,CAF,2026/6/11
148,Singapore,1057.95,1059.53,AFC,2026/6/11
149,Lithuania,1056.85,1058.42,UEFA,2026/6/11
150,Guyana,1049.32,1049.32,CONCACAF,2026/6/11
